Cobertura Nuvens (%),Data,Ponto Orvalho (°C),Irradiacao Solar Difusa Media (W/m²),Irradiacao Solar Direta Media (W/m²),Irradiacao Solar Horizontal Media (W/m²),Irradiacao Solar Difusa Max (W/m²),Irradiacao Solar Direta Max (W/m²),Irradiacao Solar Horizontal Max (W/m²),Temp Max (°C),Horario Temp Max,Indice UV Max,Direcao Max Vento (graus),Velocidade Max Vento (m/s),max_wind_spd_ts,Temp Min (°C),Horario Temp Min,Precipitacao (mm),Precipitacao Estimada (mm),Pressao Media (mb),Status Revisao,Umidade Relativa (%),Pressao ao Nivel do Mar (mb),Neve Acumulada (mm),Profundidade Neve (mm),Radiacao Solar Media (W/m²),Irradiacao Solar Difusa Total (W/m²),Irradiacao Solar Direta Total (W/m²),Irradiacao Solar Horizontal Total (W/m²),Radiacao Solar Total (W/m²),Temp Media (°C),Timestamp,Direcao Vento (graus),Rajada Vento (m/s),Velocidade Vento (m/s)
82,2024-03-11,18.5,50,391,308,128,959,1011,28.1,1710158400,4.4,68,4.0,1710154800,17.0,1710122400,0.0,0.0,887,final,80,1020,0,,173,1190,9384,7403,4153,22.4,1710104400,68,10.4,2.5
85,2024-03-12,20.1,49,389,307,127,958,1007,27.4,1710241200,3.5,53,4.8,1710248400,20.0,1710201600,0.0,0.0,888,final,82,1020,0,,116,1185,9341,7362,2773,23.4,1710190800,53,11.6,3.2
48,2024-03-13,20.0,49,387,305,127,957,1003,27.8,1710327600,7.4,43,5.2,1710327600,20.4,1710280800,0.0,0.0,887,final,81,1020,0,,286,1179,9297,7320,6874,23.7,1710277200,43,13.2,3.7
60,2024-03-14,19.2,49,386,303,127,955,999,30.0,1710414000,9.8,99,3.6,1710421200,20.0,1710378000,15.0,15.0,887,final,78,1019,0,,291,1174,9254,7277,6982,23.6,1710363600,99,9.2,2.3
33,2024-03-15,19.6,49,384,301,127,954,995,29.3,1710500400,8.6,123,2.4,1710504000,19.3,1710464400,2.3,2.3,886,final,81,1019,0,,296,1168,9211,7235,7095,23.4,1710450000,123,6.0,1.2
53,2024-03-16,20.1,48,382,300,126,953,991,27.4,1710583200,7.6,65,2.4,1710594000,20.4,1710554400,11.0,11.0,885,final,84,1017,0,,287,1162,9168,7192,6888,23.2,1710536400,65,7.6,1.7
31,2024-03-17,19.0,48,380,298,126,951,987,28.5,1710673200,9.4,88,2.4,1710676800,19.3,1710640800,0.0,0.0,884,final,77,1016,0,,294,1156,9127,7149,7052,23.5,1710622800,88,6.4,1.8
36,2024-03-18,19.1,48,379,296,126,950,983,27.4,1710759600,7.7,73,2.0,1710763200,20.4,1710727200,13.8,13.8,883,final,78,1015,0,,289,1150,9087,7107,6929,23.5,1710709200,73,7.2,1.7
45,2024-03-19,19.5,48,377,294,126,949,979,28.5,1710846000,7.1,80,3.6,1710846000,20.0,1710810000,13.0,13.0,882,final,80,1014,0,,285,1143,9050,7064,6849,23.6,1710795600,80,9.6,2.1
56,2024-03-20,20.4,47,376,293,126,947,975,28.9,1710932400,7.4,145,2.4,1710939600,20.7,1710900000,10.5,10.5,883,final,83,1015,0,,259,1137,9017,7021,6223,23.6,1710882000,145,7.6,1.4
55,2024-03-21,19.7,47,375,291,125,946,971,26.7,1711018800,6.3,176,2.8,1711018800,19.6,1710982800,1.0,1.0,883,final,85,1015,0,,263,1130,8988,6978,6321,22.5,1710968400,176,7.2,1.7
60,2024-03-22,18.5,47,373,289,125,945,966,25.9,1711101600,6.2,102,3.2,1711105200,18.1,1711069200,2.8,2.8,883,final,85,1016,0,,260,1125,8962,6935,6244,21.5,1711054800,102,9.2,2.3
71,2024-03-23,17.9,47,372,287,125,943,962,24.4,1711191600,6.2,92,4.8,1711177200,18.9,1711213200,7.0,7.0,884,final,84,1018,0,,259,1120,8936,6892,6216,20.9,1711141200,92,12.4,3.3
94,2024-03-24,17.4,46,371,285,124,942,958,21.1,1711278000,3.0,97,4.8,1711263600,18.1,1711299600,23.0,23.0,887,final,88,1022,0,,66,1116,8910,6849,1587,19.4,1711227600,97,14.4,3.7
71,2024-03-25,15.8,46,370,284,124,940,953,22.6,1711364400,5.7,89,5.6,1711342800,16.3,1711386000,5.0,5.0,888,final,82,1023,0,,223,1111,8885,6805,5352,19.1,1711314000,89,14.4,4.0
81,2024-03-26,15.2,46,369,282,124,939,949,21.9,1711450800,5.1,76,5.2,1711458000,15.9,1711414800,0.5,0.5,886,final,82,1021,0,,197,1107,8860,6762,4736,18.5,1711400400,76,13.6,3.6
81,2024-03-27,16.3,46,368,280,124,937,944,23.3,1711537200,3.5,59,4.8,1711515600,17.0,1711501200,0.0,0.0,886,final,83,1020,0,,156,1102,8835,6718,3756,19.5,1711486800,59,12.0,3.4
69,2024-03-28,17.0,46,367,278,123,936,939,24.8,1711623600,5.7,61,3.6,1711627200,17.0,1711587600,3.5,3.5,884,final,82,1018,0,,228,1099,8810,6674,5478,20.5,1711573200,61,9.6,2.7
53,2024-03-29,17.1,46,366,276,123,935,935,27.4,1711710000,7.4,77,3.6,1711713600,18.5,1711674000,3.0,3.0,882,final,77,1014,0,,271,1095,8784,6630,6503,22.0,1711659600,77,9.2,2.4
60,2024-03-30,17.4,45,365,274,123,933,930,27.8,1711796400,6.8,162,2.4,1711803600,18.5,1711760400,27.8,27.8,882,final,76,1014,0,,257,1091,8758,6586,6159,22.4,1711746000,162,7.6,1.7
74,2024-03-31,18.6,45,364,273,123,931,926,24.8,1711882800,5.7,129,2.4,1711886400,18.9,1711850400,5.8,5.8,885,final,85,1018,0,,219,1087,8732,6541,5261,21.2,1711832400,129,6.8,1.5
77,2024-04-01,18.1,45,363,271,122,930,921,23.7,1711965600,5.1,93,4.0,1711958400,18.9,1711933200,11.0,11.0,886,final,85,1020,0,,223,1083,8705,6497,5349,20.7,1711918800,93,11.6,2.8
77,2024-04-02,17.5,45,362,269,122,928,916,23.3,1712055600,5.6,84,4.8,1712055600,18.5,1712019600,12.0,12.0,886,final,85,1020,0,,215,1079,8678,6452,5167,20.1,1712005200,84,12.4,3.3
70,2024-04-03,17.1,45,360,267,122,927,911,23.3,1712142000,4.9,70,4.8,1712142000,17.8,1712095200,2.5,2.5,885,final,83,1019,0,,194,1075,8651,6407,4654,20.1,1712091600,70,12.4,3.4
38,2024-04-04,16.4,45,359,265,121,925,907,24.4,1712228400,7.3,56,4.4,1712228400,17.4,1712192400,0.0,0.0,885,final,79,1019,0,,263,1071,8624,6363,6310,20.4,1712178000,56,11.6,3.1
40,2024-04-05,16.7,44,358,263,121,924,902,27.4,1712314800,6.9,73,3.2,1712318400,17.4,1712278800,0.0,0.0,884,final,76,1017,0,,259,1067,8596,6318,6226,21.5,1712264400,73,8.4,2.0
45,2024-04-06,17.0,44,357,261,121,922,897,28.9,1712401200,8.2,162,2.0,1712401200,17.0,1712365200,0.0,0.0,883,final,72,1015,0,,255,1063,8568,6273,6110,23.0,1712350800,162,6.4,1.5
55,2024-04-07,18.2,44,356,259,120,921,892,27.4,1712487600,7.8,163,2.0,1712487600,19.3,1712451600,0.0,0.0,883,final,77,1015,0,,256,1059,8540,6228,6133,22.8,1712437200,163,6.4,1.2
96,2024-04-08,18.3,44,355,258,120,919,887,23.7,1712574000,3.2,126,2.8,1712581200,18.5,1712541600,7.5,7.5,882,final,86,1016,0,,97,1055,8512,6183,2325,20.7,1712523600,126,8.0,2.1
61,2024-04-09,17.9,44,353,256,120,917,882,28.1,1712660400,6.2,85,2.8,1712664000,17.8,1712624400,0.0,0.0,881,final,77,1013,0,,238,1051,8484,6138,5720,22.5,1712610000,85,8.0,2.1
37,2024-04-10,17.9,44,352,254,120,916,878,31.9,1712746800,7.6,219,4.4,1712750400,19.3,1712714400,1.3,1.3,879,final,68,1010,0,,253,1046,8455,6093,6074,25.1,1712696400,219,11.2,2.5
84,2024-04-11,18.6,43,351,252,119,914,873,24.4,1712829600,2.7,245,3.6,1712829600,19.3,1712797200,5.0,5.0,880,final,83,1013,0,,102,1042,8426,6048,2440,21.8,1712782800,245,9.6,2.1
83,2024-04-12,15.7,43,350,250,119,912,868,21.5,1712916000,2.7,227,2.4,1712937600,16.7,1712887200,0.0,0.0,883,final,81,1017,0,,87,1038,8397,6003,2097,19.0,1712869200,227,7.2,1.6
76,2024-04-13,14.2,43,349,248,119,911,863,22.2,1713006000,3.1,182,2.0,1713006000,15.2,1712970000,0.0,0.0,884,final,78,1018,0,,142,1034,8367,5959,3411,18.3,1712955600,182,5.6,1.2
94,2024-04-14,15.7,43,347,246,118,909,858,23.0,1713092400,3.0,141,2.4,1713092400,16.3,1713056400,0.5,0.5,885,final,81,1019,0,,101,1030,8338,5914,2434,19.1,1713042000,141,6.0,1.3
88,2024-04-15,15.1,43,346,245,118,908,853,21.5,1713178800,2.5,94,3.2,1713175200,16.3,1713142800,0.0,0.0,887,final,82,1022,0,,75,1025,8308,5870,1799,18.3,1713128400,94,8.0,2.3
83,2024-04-16,15.6,43,345,243,118,906,848,23.0,1713261600,2.6,73,3.6,1713265200,15.9,1713229200,4.0,4.0,887,final,84,1022,0,,95,1021,8278,5826,2281,18.4,1713214800,73,10.0,2.7
87,2024-04-17,14.7,42,344,241,117,904,843,21.9,1713348000,3.3,72,4.4,1713348000,15.6,1713384000,0.0,0.0,888,final,81,1023,0,,139,1017,8248,5782,3327,18.1,1713301200,72,11.2,3.4
82,2024-04-18,13.6,42,342,239,117,903,839,22.6,1713438000,6.0,54,4.0,1713438000,14.8,1713402000,0.0,0.0,887,final,77,1022,0,,208,1013,8218,5738,4996,17.9,1713387600,54,10.8,3.2
97,2024-04-19,14.9,42,341,237,117,901,834,24.8,1713524400,2.4,57,3.6,1713524400,14.8,1713488400,0.0,0.0,884,final,76,1018,0,,68,1009,8188,5694,1626,19.6,1713474000,57,9.6,2.6
34,2024-04-20,16.4,42,340,235,117,899,829,26.7,1713610800,7.0,177,2.0,1713618000,17.0,1713574800,2.5,2.5,881,final,79,1013,0,,231,1004,8158,5651,5535,20.7,1713560400,177,8.0,1.4
27,2024-04-21,15.4,42,339,234,116,898,824,24.8,1713697200,5.3,177,1.6,1713708000,15.2,1713661200,0.0,0.0,881,final,78,1015,0,,226,1000,8127,5608,5422,19.9,1713646800,177,6.0,1.1
42,2024-04-22,16.0,41,337,232,116,896,819,27.4,1713783600,6.6,149,2.0,1713790800,17.4,1713747600,0.0,0.0,884,final,75,1017,0,,231,996,8097,5565,5532,21.3,1713733200,149,6.4,1.2
50,2024-04-23,16.5,41,336,230,116,894,815,27.0,1713870000,6.5,106,2.0,1713888000,18.1,1713834000,2.5,2.5,884,final,75,1017,0,,228,992,8066,5523,5469,21.7,1713819600,106,6.0,1.5
52,2024-04-24,16.4,41,335,228,115,893,810,26.7,1713956400,6.6,119,2.0,1713963600,17.8,1713920400,2.0,2.0,883,final,75,1016,0,,221,987,8035,5481,5309,21.5,1713906000,119,5.6,1.2
62,2024-04-25,17.1,41,334,227,115,891,805,25.6,1714039200,5.0,57,2.8,1714046400,17.8,1714010400,0.0,0.0,883,final,80,1016,0,,213,983,8005,5439,5119,21.1,1713992400,57,8.4,2.2
58,2024-04-26,17.3,41,332,225,115,889,800,26.3,1714129200,5.5,66,2.8,1714132800,18.1,1714093200,0.3,0.3,882,final,78,1015,0,,216,979,7974,5398,5191,21.7,1714078800,66,8.0,2.1
49,2024-04-27,16.3,41,331,223,114,888,796,26.3,1714215600,5.2,197,3.6,1714226400,17.4,1714179600,0.0,0.0,882,final,79,1015,0,,219,975,7943,5356,5262,20.8,1714165200,197,8.8,1.9
56,2024-04-28,14.9,40,330,221,114,886,791,23.7,1714294800,4.2,152,2.8,1714302000,16.3,1714266000,0.0,0.0,885,final,79,1019,0,,190,971,7913,5316,4566,18.9,1714251600,152,7.6,2.0
72,2024-04-29,15.3,40,328,220,114,885,786,23.3,1714384800,3.3,72,3.6,1714374000,15.9,1714352400,0.0,0.0,885,final,81,1020,0,,149,967,7882,5276,3584,18.9,1714338000,72,10.0,2.7
59,2024-04-30,16.5,40,327,218,114,883,782,24.8,1714474800,4.7,49,4.0,1714474800,17.0,1714438800,0.0,0.0,884,final,81,1017,0,,204,962,7851,5236,4906,20.1,1714424400,49,10.4,2.9
38,2024-05-01,16.8,40,326,217,113,881,777,27.0,1714561200,4.9,158,2.4,1714568400,17.4,1714525200,0.0,0.0,882,final,77,1014,0,,214,958,7821,5196,5126,21.6,1714510800,158,7.2,1.7
23,2024-05-02,15.6,40,325,215,113,880,773,26.7,1714647600,6.2,212,2.8,1714651200,17.8,1714611600,0.0,0.0,883,final,73,1016,0,,214,954,7791,5157,5146,21.3,1714597200,212,8.0,1.5
43,2024-05-03,14.4,40,323,213,113,878,769,23.7,1714726800,5.0,179,2.8,1714741200,15.9,1714766400,0.0,0.0,885,final,77,1019,0,,204,950,7760,5119,4900,18.9,1714683600,179,8.4,1.7
71,2024-05-04,14.1,39,322,212,112,877,764,21.1,1714813200,3.3,93,4.4,1714816800,14.8,1714784400,0.0,0.0,887,final,81,1023,0,,155,946,7730,5081,3710,17.5,1714770000,93,12.0,3.1
27,2024-05-05,12.4,39,321,210,112,875,760,21.9,1714906800,5.6,55,4.4,1714906800,13.7,1714870800,0.0,0.0,886,final,77,1021,0,,208,942,7700,5044,4995,16.8,1714856400,55,11.2,3.0
13,2024-05-06,12.2,39,320,209,112,873,756,24.1,1714993200,6.5,67,3.6,1714996800,12.6,1714960800,0.0,0.0,886,final,73,1021,0,,209,938,7670,5007,5007,17.6,1714942800,67,9.6,2.6
58,2024-05-07,15.0,39,318,207,112,872,751,23.7,1715079600,3.6,58,4.8,1715079600,14.1,1715043600,0.0,0.0,888,final,81,1023,0,,168,934,7641,4971,4024,18.6,1715029200,58,12.8,3.3
59,2024-05-08,15.4,39,317,206,111,870,747,23.0,1715166000,5.3,64,5.2,1715166000,16.7,1715130000,0.0,0.0,889,final,79,1023,0,,198,930,7611,4935,4761,19.3,1715115600,64,13.6,3.6
62,2024-05-09,15.5,39,316,204,111,869,743,23.3,1715252400,3.7,59,4.8,1715256000,16.7,1715216400,0.0,0.0,887,final,81,1022,0,,176,927,7582,4900,4235,19.1,1715202000,59,12.4,3.2
62,2024-05-10,15.6,38,315,203,111,867,739,23.7,1715338800,3.7,51,4.0,1715338800,16.7,1715295600,0.0,0.0,886,final,80,1020,0,,170,923,7554,4865,4089,19.4,1715288400,51,10.8,2.8
47,2024-05-11,15.6,38,314,201,110,866,735,24.4,1715425200,4.5,53,4.8,1715425200,16.7,1715389200,0.0,0.0,886,final,79,1020,0,,193,919,7525,4831,4634,19.7,1715374800,53,12.0,2.7
26,2024-05-12,15.2,38,312,200,110,864,731,25.6,1715511600,5.7,71,3.6,1715497200,15.2,1715475600,0.0,0.0,885,final,78,1019,0,,200,915,7497,4798,4796,19.6,1715461200,71,10.0,2.2
43,2024-05-13,15.1,38,311,199,110,863,727,24.4,1715598000,4.5,66,3.6,1715605200,15.2,1715558400,0.0,0.0,884,final,79,1018,0,,193,912,7469,4765,4641,19.2,1715547600,66,9.6,2.2
62,2024-05-14,15.6,38,310,197,110,862,724,23.7,1715680800,4.3,82,3.2,1715684400,16.3,1715648400,1.0,1.0,884,final,82,1019,0,,187,908,7442,4733,4487,19.0,1715634000,82,8.0,2.1
71,2024-05-15,15.4,38,309,196,109,860,720,21.9,1715770800,3.7,93,4.0,1715767200,15.9,1715734800,2.0,2.0,886,final,85,1021,0,,165,905,7415,4702,3954,18.1,1715720400,93,10.0,2.5
70,2024-05-16,16.0,38,308,195,109,859,716,22.6,1715857200,3.4,54,4.4,1715850000,16.3,1715810400,0.0,0.0,887,final,84,1022,0,,161,901,7389,4671,3870,18.9,1715806800,54,11.6,3.2
49,2024-05-17,15.5,37,307,193,109,857,713,24.1,1715943600,4.8,50,4.0,1715947200,16.3,1715907600,0.0,0.0,885,final,79,1019,0,,184,898,7363,4641,4408,19.5,1715893200,50,10.8,2.9
32,2024-05-18,14.5,37,306,192,109,856,709,26.7,1716030000,5.6,184,2.8,1716037200,14.4,1715997600,0.0,0.0,884,final,73,1018,0,,192,894,7337,4612,4603,20.2,1715979600,184,8.0,1.9
60,2024-05-19,14.0,37,305,191,108,855,706,22.2,1716116400,4.4,179,2.8,1716116400,15.2,1716080400,0.0,0.0,885,final,81,1020,0,,185,891,7312,4583,4429,17.6,1716066000,179,7.6,1.7
81,2024-05-20,13.0,37,304,190,108,854,703,18.9,1716202800,2.7,99,4.8,1716199200,13.0,1716235200,3.0,3.0,888,final,82,1024,0,,118,888,7288,4556,2832,16.0,1716152400,99,12.4,3.3
34,2024-05-21,10.9,37,303,189,108,852,699,18.9,1716282000,4.0,82,5.6,1716274800,12.6,1716321600,0.0,0.0,890,final,77,1027,0,,165,885,7264,4528,3967,15.0,1716238800,82,14.4,4.0
25,2024-05-22,10.9,37,302,188,108,851,696,19.6,1716375600,4.1,82,5.6,1716361200,12.6,1716332400,0.0,0.0,891,final,75,1028,0,,184,882,7241,4502,4415,15.5,1716325200,82,15.2,3.8
38,2024-05-23,11.3,37,301,187,108,850,693,19.6,1716462000,4.1,74,5.6,1716447600,12.6,1716426000,0.0,0.0,888,final,77,1025,0,,172,879,7218,4477,4127,15.5,1716411600,74,14.4,3.4
33,2024-05-24,12.6,37,300,185,107,849,690,21.5,1716548400,4.3,58,3.6,1716548400,12.2,1716512400,0.0,0.0,887,final,80,1023,0,,180,876,7196,4452,4325,16.3,1716498000,58,10.0,2.3
51,2024-05-25,13.5,36,299,184,107,848,687,23.3,1716634800,4.8,70,2.4,1716642000,14.1,1716591600,0.0,0.0,885,final,79,1020,0,,182,873,7175,4428,4359,17.7,1716584400,70,7.2,1.8
38,2024-05-26,11.9,36,298,184,107,846,685,24.1,1716721200,5.5,153,2.0,1716732000,14.1,1716685200,0.0,0.0,883,final,72,1018,0,,182,871,7154,4405,4358,17.8,1716670800,153,6.4,1.4
19,2024-05-27,11.6,36,297,183,107,845,682,22.6,1716807600,5.1,165,2.4,1716814800,11.9,1716775200,0.0,0.0,885,final,74,1021,0,,182,868,7134,4382,4368,16.6,1716757200,165,6.4,1.3
38,2024-05-28,12.4,36,296,182,107,844,679,22.6,1716894000,4.9,108,2.4,1716901200,12.2,1716858000,0.0,0.0,888,final,79,1024,0,,172,865,7114,4360,4120,16.7,1716843600,108,6.8,1.3
64,2024-05-29,13.5,36,296,181,106,843,677,21.1,1716980400,2.9,75,4.0,1716987600,14.1,1716948000,0.0,0.0,887,final,82,1023,0,,147,863,7096,4340,3530,16.8,1716930000,75,10.4,2.6
26,2024-05-30,12.5,36,295,180,106,842,675,21.1,1717066800,5.0,58,5.2,1717066800,13.7,1717030800,0.0,0.0,887,final,79,1023,0,,180,861,7078,4320,4314,16.5,1717016400,58,13.6,3.4
11,2024-05-31,11.7,36,294,179,106,841,672,23.3,1717153200,5.3,67,3.6,1717160400,12.6,1717117200,0.0,0.0,887,final,75,1022,0,,179,858,7060,4300,4300,16.8,1717102800,67,9.6,2.4
23,2024-06-01,10.4,36,293,178,106,841,670,25.2,1717239600,5.5,127,2.0,1717243200,12.2,1717203600,0.0,0.0,886,final,69,1021,0,,178,856,7044,4282,4278,17.7,1717189200,127,5.6,1.6
21,2024-06-02,9.9,36,293,178,106,840,668,24.8,1717326000,5.4,166,2.8,1717326000,11.5,1717293600,0.0,0.0,885,final,66,1020,0,,178,854,7028,4265,4265,17.5,1717275600,166,8.0,1.5
42,2024-06-03,12.1,36,292,177,106,839,666,23.7,1717412400,5.1,95,2.8,1717416000,11.5,1717380000,0.0,0.0,885,final,76,1020,0,,176,852,7013,4248,4222,17.1,1717362000,95,7.6,1.6
52,2024-06-04,14.0,35,292,176,106,838,664,23.3,1717498800,4.5,56,3.6,1717506000,14.4,1717462800,0.0,0.0,885,final,79,1020,0,,174,850,6999,4232,4166,18.1,1717448400,56,9.2,2.7
46,2024-06-05,14.3,35,291,176,105,837,662,24.8,1717585200,5.0,56,2.4,1717592400,14.4,1717549200,0.0,0.0,885,final,79,1020,0,,174,848,6985,4217,4169,18.6,1717534800,56,7.2,2.3
41,2024-06-06,15.1,35,291,175,105,837,661,24.8,1717671600,4.1,63,3.2,1717678800,14.4,1717635600,0.0,0.0,886,final,81,1021,0,,172,847,6973,4203,4135,18.7,1717621200,63,8.8,2.4
36,2024-06-07,14.5,35,290,175,105,836,659,24.4,1717758000,5.1,60,3.6,1717765200,15.2,1717725600,0.0,0.0,887,final,79,1021,0,,173,845,6961,4190,4160,18.8,1717707600,60,10.4,2.7
44,2024-06-08,13.4,35,290,174,105,835,658,23.7,1717844400,4.9,206,4.0,1717844400,13.7,1717808400,1.5,1.5,885,final,80,1021,0,,159,844,6950,4178,3823,17.5,1717794000,206,10.4,2.3
90,2024-06-09,10.7,35,289,174,105,835,656,16.7,1717923600,1.8,166,3.2,1717927200,11.9,1717963200,0.0,0.0,888,final,81,1025,0,,64,843,6939,4166,1537,14.1,1717880400,166,8.8,2.5
73,2024-06-10,10.1,35,289,173,105,834,655,17.8,1718017200,2.0,115,3.6,1718010000,11.1,1717981200,0.0,0.0,889,final,80,1027,0,,94,841,6930,4156,2247,13.8,1717966800,115,9.2,2.2
96,2024-06-11,12.8,35,288,173,105,834,654,16.7,1718103600,1.7,150,3.6,1718103600,12.2,1718067600,8.5,8.5,888,final,90,1025,0,,39,840,6921,4146,930,14.5,1718053200,150,8.8,2.2
66,2024-06-12,13.6,35,288,172,105,833,653,19.6,1718190000,2.3,121,4.4,1718186400,12.6,1718154000,1.0,1.0,887,final,88,1023,0,,124,839,6913,4137,2975,15.8,1718139600,121,12.4,2.3
69,2024-06-13,14.6,35,288,172,105,833,652,20.0,1718276400,2.4,167,2.0,1718272800,14.1,1718240400,19.0,19.0,884,final,88,1019,0,,100,838,6906,4129,2390,16.6,1718226000,167,6.8,1.5
87,2024-06-14,14.7,35,288,172,105,832,651,20.0,1718362800,2.5,252,2.8,1718362800,13.0,1718330400,0.0,0.0,883,final,91,1019,0,,103,838,6900,4122,2466,16.3,1718312400,252,8.0,1.7
47,2024-06-15,13.1,35,287,172,104,832,650,20.4,1718449200,4.3,229,2.0,1718460000,12.6,1718402400,0.0,0.0,884,final,84,1019,0,,164,837,6895,4116,3935,16.1,1718398800,229,7.2,1.5
21,2024-06-16,10.3,35,287,171,104,832,650,20.4,1718535600,4.8,148,2.0,1718535600,11.5,1718499600,0.0,0.0,884,final,76,1020,0,,171,836,6891,4111,4105,15.1,1718485200,148,5.2,1.0
57,2024-06-17,12.5,35,287,171,104,831,649,21.1,1718622000,4.1,102,1.6,1718622000,12.2,1718589600,0.0,0.0,886,final,83,1022,0,,165,836,6887,4107,3958,15.7,1718571600,102,5.2,1.3
57,2024-06-18,13.0,35,287,171,104,831,649,21.1,1718708400,4.0,58,3.2,1718715600,12.6,1718672400,0.0,0.0,886,final,84,1022,0,,162,835,6884,4104,3893,16.0,1718658000,58,8.4,2.4
47,2024-06-19,13.5,35,287,171,104,831,648,22.2,1718794800,4.0,63,3.2,1718805600,13.3,1718762400,0.0,0.0,886,final,82,1021,0,,167,835,6882,4101,4012,17.0,1718744400,63,8.8,2.3
52,2024-06-20,12.9,35,287,171,104,831,648,22.2,1718881200,3.6,70,3.2,1718892000,13.0,1718848800,0.0,0.0,888,final,80,1024,0,,158,835,6882,4100,3783,16.8,1718830800,70,8.4,2.2
41,2024-06-21,12.4,35,287,171,104,831,648,20.7,1718967600,3.8,83,3.6,1718974800,12.6,1718935200,0.0,0.0,888,final,82,1025,0,,153,835,6881,4099,3662,15.8,1718917200,83,9.6,2.3
74,2024-06-22,13.0,35,287,171,104,831,648,19.3,1719057600,3.3,74,4.4,1719039600,13.3,1719018000,0.0,0.0,889,final,85,1025,0,,142,835,6882,4099,3411,15.7,1719003600,74,11.2,2.7
67,2024-06-23,12.6,35,287,171,104,831,648,19.6,1719140400,2.5,91,3.2,1719136800,12.6,1719104400,0.0,0.0,889,final,82,1026,0,,132,835,6884,4101,3161,15.9,1719090000,91,8.8,2.0
69,2024-06-24,12.6,35,287,171,104,831,649,18.5,1719226800,2.9,105,3.6,1719234000,12.2,1719259200,1.0,1.0,890,final,87,1027,0,,132,836,6886,4103,3158,14.9,1719176400,105,9.2,2.1
88,2024-06-25,13.5,35,287,171,104,831,649,19.6,1719313200,2.7,89,3.6,1719309600,12.2,1719277200,3.5,3.5,890,final,88,1027,0,,100,836,6890,4106,2390,15.5,1719262800,89,9.6,2.3
47,2024-06-26,11.8,35,287,171,104,831,649,19.6,1719403200,4.1,73,3.2,1719385200,13.0,1719367200,0.0,0.0,889,final,81,1026,0,,170,837,6894,4110,4069,15.5,1719349200,73,9.2,2.3
26,2024-06-27,10.7,35,287,171,104,831,650,19.6,1719486000,4.5,65,2.8,1719489600,11.1,1719450000,0.0,0.0,889,final,80,1027,0,,170,837,6899,4115,4080,14.4,1719435600,65,8.0,2.0
10,2024-06-28,9.2,35,288,172,104,831,651,18.9,1719572400,4.9,67,3.2,1719579600,9.6,1719536400,0.0,0.0,888,final,78,1026,0,,172,838,6905,4120,4118,13.3,1719522000,67,8.8,2.2
19,2024-06-29,9.4,35,288,172,104,831,652,18.9,1719658800,4.9,55,4.4,1719666000,9.3,1719622800,0.0,0.0,885,final,79,1023,0,,172,839,6912,4127,4121,13.3,1719608400,55,11.2,2.7
8,2024-06-30,8.1,35,288,172,105,832,652,20.7,1719748800,5.2,89,3.2,1719756000,8.5,1719712800,0.0,0.0,885,final,73,1022,0,,172,840,6920,4135,4135,13.8,1719694800,89,8.8,2.1
18,2024-07-01,6.4,35,289,173,105,832,654,22.2,1719831600,5.3,159,2.4,1719835200,8.5,1719795600,0.0,0.0,886,final,64,1022,0,,172,841,6928,4143,4138,14.8,1719781200,159,7.2,1.5
25,2024-07-02,9.2,35,289,173,105,832,655,19.6,1719910800,4.5,80,3.6,1719925200,8.1,1719882000,0.0,0.0,885,final,76,1023,0,,172,842,6937,4152,4120,13.6,1719867600,80,9.6,2.1
62,2024-07-03,12.3,35,289,173,105,833,656,19.3,1720008000,3.3,56,5.2,1720011600,13.0,1719968400,0.0,0.0,885,final,83,1021,0,,149,843,6947,4163,3567,15.4,1719954000,56,13.6,3.3
35,2024-07-04,10.8,35,290,174,105,833,657,22.2,1720090800,4.5,155,3.6,1720101600,13.0,1720058400,0.0,0.0,883,final,72,1018,0,,172,845,6958,4174,4130,16.5,1720040400,155,9.6,2.4
14,2024-07-05,7.5,35,290,174,105,834,659,22.6,1720177200,5.3,213,2.4,1720180800,10.0,1720141200,0.0,0.0,882,final,61,1017,0,,174,846,6970,4186,4186,16.3,1720126800,213,7.6,1.6
4,2024-07-06,6.5,35,291,175,105,834,660,22.2,1720263600,5.4,211,2.0,1720270800,10.0,1720231200,0.0,0.0,882,final,57,1017,0,,175,848,6982,4198,4198,15.7,1720213200,211,7.2,1.3
18,2024-07-07,7.7,35,291,176,105,835,662,20.4,1720350000,4.6,240,4.4,1720342800,10.4,1720317600,0.0,0.0,881,final,63,1016,0,,171,849,6995,4212,4100,14.9,1720299600,240,12.4,2.2
25,2024-07-08,10.3,35,292,176,105,835,664,21.9,1720436400,4.2,82,2.4,1720443600,8.5,1720400400,0.0,0.0,881,final,77,1017,0,,172,851,7009,4227,4130,14.7,1720386000,82,7.2,1.7
27,2024-07-09,9.3,36,293,177,105,836,665,24.4,1720522800,5.4,159,2.0,1720530000,9.6,1720490400,0.0,0.0,883,final,68,1018,0,,177,853,7024,4242,4240,16.6,1720472400,159,6.4,1.6
49,2024-07-10,12.6,36,293,177,105,837,667,22.6,1720612800,4.1,93,2.4,1720609200,11.1,1720573200,0.0,0.0,887,final,81,1023,0,,167,855,7039,4258,4010,16.2,1720558800,93,6.8,1.7
